x,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
12.7,665.102703,677.102703,577.454545,572,591.765957,610.680851,841.517241,1161.42529,660.722222,656.444444,667.312534,735.530657
12.8,670.572973,682.572973,582.242424,576.666667,596.425532,615.489362,842.965517,1157.81609,666.925926,662.518519,671.826474,739.012722
12.9,676.043243,688.043243,587.030303,581.333333,601.085106,620.297872,844.413793,1154.2069,673.12963,668.592593,676.340415,742.494788
13,681.513514,693.513514,591.818182,586,605.744681,625.106383,845.862069,1150.5977,679.333333,674.666667,680.854356,745.976853
13.1,686.983784,698.983784,596.606061,590.666667,610.404255,629.914894,847.310345,1146.98851,685.537037,680.740741,685.368296,749.458918
13.2,692.454054,704.454054,601.393939,595.333333,615.06383,634.723404,848.758621,1143.37931,691.740741,686.814815,689.882237,752.940983
13.3,697.924324,709.924324,606.181818,600,619.723404,639.531915,850.206897,1139.77011,697.944444,692.888889,694.396178,756.423049
13.4,703.394595,715.394595,610.969697,604.666667,624.382979,644.340426,851.655172,1136.16092,704.148148,698.962963,698.910118,759.905114
13.5,708.864865,720.864865,615.757576,609.333333,629.042553,649.148936,853.103448,1132.55172,710.351852,705.037037,703.424059,763.387179
13.6,714.335135,726.335135,620.545455,614,633.702128,653.957447,854.551724,1128.94253,716.555556,711.111111,707.937999,766.869244
13.7,719.805405,731.805405,625.333333,618.666667,638.361702,658.765957,856,1125.33333,722.759259,717.185185,712.45194,770.35131
13.8,725.275676,737.275676,630.121212,623.333333,643.021277,663.574468,857.448276,1121.72414,728.962963,723.259259,716.965881,773.833375
13.9,730.745946,742.745946,634.909091,628,647.680851,668.382979,858.896552,1118.11494,735.166667,729.333333,721.479821,777.31544
14,736.216216,748.216216,639.69697,632.666667,652.340426,673.191489,860.344828,1114.50575,741.37037,735.407407,725.993762,780.797505
14.1,741.686486,753.686486,644.484848,637.333333,657,678,861.793103,1110.89655,747.574074,741.481481,730.507702,784.279571
14.2,747.156757,759.156757,649.272727,642,661.659574,682.808511,863.241379,1107.28736,753.777778,747.555556,735.021643,787.761636
14.3,752.627027,764.627027,654.060606,646.666667,666.319149,687.617021,864.689655,1103.67816,759.981481,753.62963,739.535584,791.243701
14.4,758.097297,770.097297,658.848485,651.333333,670.978723,692.425532,866.137931,1100.06897,766.185185,759.703704,744.049524,794.725766
14.5,763.567568,775.567568,663.636364,656,675.638298,697.234043,867.586207,1096.45977,772.388889,765.777778,748.563465,798.207832
14.6,769.037838,781.037838,668.424242,660.666667,680.297872,702.042553,869.034483,1092.85057,778.592593,771.851852,753.077406,801.689897
14.7,774.508108,786.508108,673.212121,665.333333,684.957447,706.851064,870.482759,1089.24138,784.796296,777.925926,757.591346,805.171962
14.8,779.978378,791.978378,678,670,689.617021,711.659574,871.931034,1085.63218,791,784,762.105287,808.654027
14.9,785.448649,797.448649,682.787879,674.666667,694.276596,716.468085,873.37931,1082.02299,797.203704,790.074074,766.619227,812.136093
15,790.918919,802.918919,687.575758,679.333333,698.93617,721.276596,874.827586,1078.41379,803.407407,796.148148,771.133168,815.618158
15.1,796.389189,808.389189,692.363636,684,703.595745,726.085106,876.275862,1074.8046,809.611111,802.222222,775.647109,819.100223
15.2,801.859459,813.859459,697.151515,688.666667,708.255319,730.893617,877.724138,1071.1954,815.814815,808.296296,780.161049,822.582288
15.3,807.32973,819.32973,701.939394,693.333333,712.914894,735.702128,879.172414,1067.58621,822.018519,814.37037,784.67499,826.064354
15.4,812.8,824.8,706.727273,698,717.574468,740.510638,880.62069,1063.97701,828.222222,820.444444,789.188931,829.546419
15.5,818.27027,830.27027,711.515152,702.666667,722.234043,745.319149,882.068966,1060.36782,834.425926,826.518519,793.702871,833.028484
15.6,823.740541,835.740541,716.30303,707.333333,726.893617,750.12766,883.517241,1056.75862,840.62963,832.592593,798.216812,836.510549
15.7,829.210811,841.210811,721.090909,712,731.553191,754.93617,884.965517,1053.14943,846.833333,838.666667,802.730752,839.992615
15.8,834.681081,846.681081,725.878788,716.666667,736.212766,759.744681,886.413793,1049.54023,853.037037,844.740741,807.244693,843.47468
15.9,840.151351,852.151351,730.666667,721.333333,740.87234,764.553191,887.862069,1045.93103,859.240741,850.814815,811.758634,846.956745
16,845.621622,857.621622,735.454545,726,745.531915,769.361702,889.310345,1042.32184,865.444444,856.888889,816.272574,850.43881
16.1,851.091892,863.091892,740.242424,730.666667,750.191489,774.170213,890.758621,1038.71264,871.648148,862.962963,820.786515,853.920876
16.2,856.562162,868.562162,745.030303,735.333333,754.851064,778.978723,892.206897,1035.10345,877.851852,869.037037,825.300455,857.402941
16.3,862.032432,874.032432,749.818182,740,759.510638,783.787234,893.655172,1031.49425,884.055556,875.111111,829.814396,860.885006
16.4,867.502703,879.502703,754.606061,744.666667,764.170213,788.595745,895.103448,1027.88506,890.259259,881.185185,834.328337,864.367071
16.5,872.972973,884.972973,759.393939,749.333333,768.829787,793.404255,896.551724,1024.27586,896.462963,887.259259,838.842277,867.849137
16.6,878.443243,890.443243,764.181818,754,773.489362,798.212766,898,1020.66667,902.666667,893.333333,843.356218,871.331202
16.7,883.913514,895.913514,768.969697,758.666667,778.148936,803.021277,899.448276,1017.05747,908.87037,899.407407,847.870159,874.813267
16.8,889.383784,901.383784,773.757576,763.333333,782.808511,807.829787,900.896552,1013.44828,915.074074,905.481481,852.384099,878.295332
16.9,894.854054,906.854054,778.545455,768,787.468085,812.638298,902.344828,1009.83908,921.277778,911.555556,856.89804,881.777398
17,900.324324,912.324324,783.333333,772.666667,792.12766,817.446809,903.793103,1006.22989,927.481481,917.62963,861.41198,885.259463
17.1,905.794595,917.794595,788.121212,777.333333,796.787234,822.255319,905.241379,1002.62069,933.685185,923.703704,865.925921,888.741528
17.2,911.264865,923.264865,792.909091,782,801.446809,827.06383,906.689655,999.011494,939.888889,929.777778,870.439862,892.223593
17.3,916.735135,928.735135,797.69697,786.666667,806.106383,831.87234,908.137931,995.402299,946.092593,935.851852,874.953802,895.705659
17.4,922.205405,934.205405,802.484848,791.333333,810.765957,836.680851,909.586207,991.793103,952.296296,941.925926,879.467743,899.187724
17.5,927.675676,939.675676,807.272727,796,815.425532,841.489362,911.034483,988.183908,958.5,948,883.981684,902.669789
17.6,933.145946,945.145946,812.060606,800.666667,820.085106,846.297872,912.482759,984.574713,964.703704,954.074074,888.495624,906.151854
17.7,938.616216,950.616216,816.848485,805.333333,824.744681,851.106383,913.931034,980.965517,970.907407,960.148148,893.009565,909.63392
17.8,944.086486,956.086486,821.636364,810,829.404255,855.914894,915.37931,977.356322,977.111111,966.222222,897.523505,913.115985
